Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (square microns)	Cell Density (per square mm)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (microns)	Category Region ID	Distance from Tissue Category Edge (microns)	Nucleus Area (square microns)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus blue hematox Min (Optical Density, Peak Weighting)	Nucleus blue hematox Mean (Optical Density, Peak Weighting)	Nucleus blue hematox Max (Optical Density, Peak Weighting)	Nucleus blue hematox Std Dev (Optical Density, Peak Weighting)	Nucleus blue hematox Total (Optical Density, Peak Weighting)	Nucleus DAB Min (Optical Density, Peak Weighting)	Nucleus DAB Mean (Optical Density, Peak Weighting)	Nucleus DAB Max (Optical Density, Peak Weighting)	Nucleus DAB Std Dev (Optical Density, Peak Weighting)	Nucleus DAB Total (Optical Density, Peak Weighting)	Lab ID	Slide ID	Annotation ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.7467.26870
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59548				16140.3	39981.0	#N/A	#N/A	#N/A	1.8	45.0	0.03%	0.63	7.26	8.25	1.14	0.000	0.075	0.129	0.034	13.484	0.040	0.223	0.406	0.076	40.161		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	74.52%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59549				15518.2	39979.5	#N/A	#N/A	5372	12.0	17.5	0.01%	0.76	4.01	5.50	1.37	0.031	0.115	0.188	0.042	8.031	0.094	0.171	0.261	0.044	11.955		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	60.30%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	59550				15874.8	39980.0	#N/A	#N/A	5372	6.7	28.8	0.02%	0.53	4.13	9.60	2.33	0.040	0.100	0.218	0.032	11.501	0.037	0.112	0.222	0.039	12.847		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	64.37%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59551				15704.3	39981.0	#N/A	#N/A	5372	9.9	22.5	0.01%	0.58	5.01	6.51	1.30	0.000	0.095	0.181	0.057	8.505	0.055	0.128	0.213	0.039	11.504		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	49.08%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	59552				15862.3	39980.5	#N/A	#N/A	5372	14.0	16.5	0.01%	0.57	4.01	6.51	1.62	0.000	0.014	0.064	0.013	0.909	0.057	0.109	0.210	0.035	7.170		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	79.42%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59553				16284.3	39982.0	#N/A	#N/A	5372	9.6	35.8	0.02%	0.66	5.88	8.10	1.38	0.011	0.078	0.157	0.026	11.122	0.094	0.192	0.284	0.050	27.436		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	70.59%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59554				15900.8	39983.0	#N/A	#N/A	#N/A	2.5	37.3	0.02%	0.60	6.98	7.77	1.11	0.000	0.086	0.153	0.039	12.833	0.048	0.151	0.253	0.050	22.485		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	62.59%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	59555				16253.3	39981.0	#N/A	#N/A	5372	14.8	11.8	0.01%	0.81	3.69	4.04	1.10	0.054	0.126	0.178	0.031	5.910	0.065	0.280	0.496	0.126	13.183		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	66.87%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	NL	59556				15616.8	39983.0	#N/A	#N/A	#N/A	0.5	27.5	0.01%	0.71	6.01	6.02	1.00	0.034	0.081	0.180	0.028	8.891	0.056	0.128	0.225	0.037	14.088		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	45.66%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59557				15889.8	39984.5	#N/A	#N/A	#N/A	4.6	73.3	0.02%	0.37	8.18	16.18	1.98	0.000	0.042	0.125	0.024	12.286	0.049	0.121	0.241	0.035	35.519		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	69.95%	
