Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (square microns)	Cell Density (per square mm)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (microns)	Category Region ID	Distance from Tissue Category Edge (microns)	Nucleus Area (square microns)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus blue hematox Min (Optical Density, Peak Weighting)	Nucleus blue hematox Mean (Optical Density, Peak Weighting)	Nucleus blue hematox Max (Optical Density, Peak Weighting)	Nucleus blue hematox Std Dev (Optical Density, Peak Weighting)	Nucleus blue hematox Total (Optical Density, Peak Weighting)	Nucleus DAB Min (Optical Density, Peak Weighting)	Nucleus DAB Mean (Optical Density, Peak Weighting)	Nucleus DAB Max (Optical Density, Peak Weighting)	Nucleus DAB Std Dev (Optical Density, Peak Weighting)	Nucleus DAB Total (Optical Density, Peak Weighting)	Lab ID	Slide ID	Annotation ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.7467.26870
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	Tar	E	1				10964.4	40934.1	#N/A	#N/A	#N/A	1.5	33.8	2.09%	0.63	7.00	7.01	1.00	0.018	0.076	0.136	0.024	10.245	0.075	0.259	0.397	0.068	34.932		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	53.14%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	E	2				10988.4	40933.1	#N/A	#N/A	#N/A	#N/A	31.0	0.17%	0.80	5.02	7.01	1.40	0.033	0.074	0.120	0.016	9.180	0.095	0.178	0.272	0.042	22.108		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	62.37%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S		3				11078.9	40932.1	#N/A	#N/A	197	#N/A	16.3	0.01%	0.71	3.02	6.50	2.15	0.000	0.043	0.113	0.034	2.763	0.205	0.485	0.620	0.102	31.502		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0		
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	Tar	Tar	4				10973.9	40935.1	#N/A	#N/A	1	#N/A	32.3	2.00%	0.77	6.02	6.51	1.08	0.058	0.281	0.481	0.097	36.187	0.000	0.037	0.183	0.035	4.787		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	87.82%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	Tar	NL	5				10980.4	40936.1	#N/A	#N/A	1	3.9	25.3	1.56%	0.66	5.01	7.01	1.40	0.002	0.098	0.227	0.062	9.916	0.039	0.155	0.319	0.064	15.652		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	85.59%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	NL	6				11135.9	40936.1	#N/A	#N/A	#N/A	2.2	20.0	0.02%	0.73	4.00	6.50	1.62	0.004	0.089	0.182	0.048	7.104	0.051	0.114	0.204	0.039	9.157		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	62.44%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	7				11238.4	40938.1	#N/A	#N/A	#N/A	3.2	43.5	0.04%	0.63	6.72	9.11	1.36	0.000	0.029	0.059	0.012	5.071	0.048	0.135	0.223	0.040	23.456		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	79.26%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	Tar	NL	8				10970.4	40940.6	#N/A	#N/A	#N/A	2.1	18.3	1.13%	0.71	4.41	5.44	1.23	0.036	0.145	0.244	0.056	10.556	0.108	0.353	0.620	0.137	25.784		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	64.92%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	9				10993.9	40940.1	#N/A	#N/A	116	8.7	15.0	0.08%	0.84	4.01	4.51	1.12	0.000	0.012	0.032	0.009	0.715	0.052	0.099	0.163	0.030	5.925		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	65.45%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	10				10900.9	40943.1	#N/A	#N/A	196	#N/A	27.8	0.01%	0.46	3.70	10.05	2.72	0.000	0.057	0.094	0.025	6.338	0.030	0.137	0.278	0.056	15.157		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	98.14%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	11				11138.4	40943.6	#N/A	#N/A	15	5.5	27.8	0.02%	0.72	5.01	7.00	1.40	0.014	0.053	0.089	0.019	5.846	0.066	0.190	0.328	0.057	21.042		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	69.38%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	12				11234.9	40943.6	#N/A	#N/A	#N/A	1.0	42.8	0.04%	0.74	7.01	7.51	1.07	0.023	0.061	0.102	0.017	10.421	0.056	0.154	0.253	0.045	26.333		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	79.53%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	13				11571.4	40943.1	#N/A	#N/A	196	5.9	13.8	0.01%	0.77	3.51	5.00	1.42	0.024	0.081	0.118	0.023	4.458	0.095	0.231	0.437	0.103	12.730		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	56.00%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	14				10969.4	40945.6	#N/A	#N/A	196	2.5	17.3	0.01%	0.80	4.51	5.00	1.11	0.026	0.203	0.309	0.063	14.028	0.039	0.095	0.159	0.026	6.536		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	51.34%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	15				10984.4	40947.1	#N/A	#N/A	#N/A	2.2	43.5	0.04%	0.70	7.00	8.00	1.14	0.021	0.063	0.107	0.016	11.025	0.089	0.178	0.259	0.040	30.890		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	90.46%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	16				11572.4	40950.1	#N/A	#N/A	#N/A	0.5	32.0	0.01%	0.53	4.92	9.68	1.97	0.016	0.106	0.256	0.070	13.574	0.049	0.107	0.209	0.034	13.748		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	51.19%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	F	17				10998.4	40950.6	#N/A	#N/A	116	9.9	21.0	0.12%	0.46	4.13	8.36	2.02	0.000	0.014	0.042	0.011	1.147	0.051	0.086	0.167	0.024	7.252		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	94.06%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	18				10973.9	40951.1	#N/A	#N/A	196	3.5	27.3	0.01%	0.71	5.46	6.52	1.20	0.023	0.082	0.153	0.031	8.986	0.201	0.400	0.564	0.105	43.630		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	52.37%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	19				10909.9	40953.1	#N/A	#N/A	196	17.9	19.0	0.01%	0.74	4.40	5.46	1.24	0.014	0.101	0.147	0.032	7.709	0.098	0.386	0.632	0.134	29.329		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	50.05%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	20				10979.9	40955.1	#N/A	#N/A	#N/A	3.2	42.3	0.03%	0.63	7.29	7.72	1.06	0.025	0.055	0.106	0.016	9.289	0.039	0.132	0.261	0.039	22.245		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	50.83%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	21				11780.9	40957.6	#N/A	#N/A	196	14.7	26.3	0.01%	0.60	4.35	8.24	1.89	0.000	0.061	0.120	0.031	6.379	0.020	0.093	0.154	0.026	9.811		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	60.13%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	22				10997.4	40958.6	#N/A	#N/A	116	4.1	35.5	0.20%	0.71	6.50	7.00	1.08	0.000	0.012	0.029	0.007	1.718	0.060	0.117	0.162	0.027	16.571		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	72.83%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	23				11114.4	40959.1	#N/A	#N/A	196	14.1	37.8	0.02%	0.55	5.22	9.62	1.84	0.026	0.084	0.143	0.027	12.685	0.047	0.109	0.195	0.032	16.458		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	54.48%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	24				10956.9	40960.6	#N/A	#N/A	196	17.6	56.8	0.02%	0.65	7.22	10.34	1.43	0.007	0.083	0.232	0.033	18.776	0.041	0.168	0.265	0.056	38.170		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	49.61%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	25				10915.4	40960.6	#N/A	#N/A	196	13.0	25.5	0.01%	0.66	4.62	7.31	1.58	0.035	0.122	0.209	0.039	12.452	0.066	0.418	0.768	0.173	42.672		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	50.86%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	26				11162.4	40965.6	#N/A	#N/A	196	12.7	17.5	0.01%	0.76	4.00	5.50	1.37	0.029	0.061	0.101	0.015	4.290	0.145	0.248	0.344	0.062	17.338		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	41.97%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	27				10887.4	40967.6	#N/A	#N/A	196	#N/A	27.3	0.01%	0.78	5.52	6.01	1.09	0.045	0.106	0.190	0.025	11.523	0.040	0.431	0.596	0.144	46.939		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	89.64%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	28				10979.9	40970.1	#N/A	#N/A	#N/A	2.1	40.8	0.03%	0.70	7.01	7.50	1.07	0.028	0.072	0.139	0.021	11.786	0.069	0.132	0.245	0.034	21.552		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	54.96%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	29				10999.9	40969.1	#N/A	#N/A	196	4.0	20.5	0.01%	0.71	5.02	5.50	1.09	0.052	0.098	0.140	0.019	8.061	0.122	0.331	0.492	0.098	27.150		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	69.08%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	30				10903.9	40970.6	#N/A	#N/A	196	13.9	30.3	0.01%	0.69	6.10	6.76	1.11	0.014	0.055	0.095	0.018	6.667	0.091	0.204	0.331	0.057	24.661		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	72.03%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	31				11019.9	40971.6	#N/A	#N/A	#N/A	1.1	64.5	0.03%	0.46	7.02	14.52	2.07	0.000	0.017	0.043	0.010	4.273	0.033	0.117	0.222	0.038	30.268		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	89.12%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	32				11085.4	40971.1	#N/A	#N/A	#N/A	1.5	27.5	0.01%	0.78	5.52	6.02	1.09	0.024	0.080	0.115	0.021	8.843	0.127	0.266	0.367	0.059	29.267		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	80.60%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	33				10989.4	40974.1	#N/A	#N/A	116	2.2	32.8	0.18%	0.71	6.50	6.53	1.00	0.000	0.038	0.153	0.022	4.918	0.047	0.105	0.206	0.032	13.759		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	59.83%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	34				11578.4	40974.6	#N/A	#N/A	196	10.9	15.3	0.01%	0.85	3.51	5.00	1.43	0.023	0.099	0.153	0.034	6.029	0.091	0.199	0.318	0.059	12.148		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	67.16%	
