Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (square microns)	Cell Density (per square mm)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (microns)	Category Region ID	Distance from Tissue Category Edge (microns)	Nucleus Area (square microns)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus blue hematox Min (Optical Density, Peak Weighting)	Nucleus blue hematox Mean (Optical Density, Peak Weighting)	Nucleus blue hematox Max (Optical Density, Peak Weighting)	Nucleus blue hematox Std Dev (Optical Density, Peak Weighting)	Nucleus blue hematox Total (Optical Density, Peak Weighting)	Nucleus DAB Min (Optical Density, Peak Weighting)	Nucleus DAB Mean (Optical Density, Peak Weighting)	Nucleus DAB Max (Optical Density, Peak Weighting)	Nucleus DAB Std Dev (Optical Density, Peak Weighting)	Nucleus DAB Total (Optical Density, Peak Weighting)	Lab ID	Slide ID	Annotation ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.7467.26870
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	35				11750.4	40975.1	#N/A	#N/A	196	11.0	36.3	0.01%	0.62	5.57	8.76	1.57	0.013	0.078	0.138	0.029	11.270	0.048	0.104	0.158	0.024	15.050		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	53.81%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	36				11780.9	40975.1	#N/A	#N/A	196	#N/A	32.0	0.01%	0.76	6.01	6.52	1.08	0.013	0.070	0.140	0.030	8.989	0.136	0.271	0.411	0.069	34.713		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	85.09%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	37				10876.4	40978.1	#N/A	#N/A	196	#N/A	44.0	0.02%	0.66	6.51	9.02	1.39	0.013	0.053	0.101	0.017	9.285	0.061	0.183	0.300	0.053	32.241		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	75.76%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	O	38				10899.9	40977.1	#N/A	#N/A	196	15.6	21.0	0.01%	0.69	4.52	6.49	1.44	0.000	0.014	0.039	0.010	1.138	0.032	0.096	0.152	0.029	8.035		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	48.76%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	39				10895.4	40982.1	#N/A	#N/A	196	18.2	18.5	0.01%	0.76	3.50	6.50	1.86	0.050	0.149	0.236	0.044	10.996	0.088	0.346	0.581	0.143	25.597		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	71.81%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	40				10970.9	40982.6	#N/A	#N/A	18	6.7	35.0	0.03%	0.70	6.52	7.00	1.07	0.026	0.050	0.095	0.017	7.028	0.091	0.180	0.333	0.051	25.201		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	76.87%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	41				11085.9	40983.6	#N/A	#N/A	#N/A	0.5	32.0	0.01%	0.48	5.10	9.69	1.90	0.011	0.052	0.109	0.023	6.663	0.043	0.085	0.130	0.020	10.875		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	32.83%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	42				11726.4	40987.6	#N/A	#N/A	196	18.9	18.3	0.01%	0.79	4.50	5.00	1.11	0.065	0.132	0.225	0.032	9.627	0.041	0.145	0.233	0.046	10.605		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	71.67%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	43				10994.4	40991.6	#N/A	#N/A	#N/A	2.9	42.8	0.04%	0.74	6.53	8.01	1.23	0.011	0.053	0.093	0.018	9.012	0.053	0.113	0.176	0.028	19.348		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	53.31%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	44				10961.4	40992.6	#N/A	#N/A	18	10.5	52.3	0.04%	0.48	8.50	10.01	1.18	0.011	0.034	0.073	0.012	7.099	0.063	0.120	0.208	0.035	25.024		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	64.38%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	45				11060.9	40991.1	#N/A	#N/A	#N/A	2.5	25.5	0.01%	0.66	5.00	7.01	1.40	0.012	0.081	0.132	0.025	8.287	0.124	0.309	0.459	0.092	31.521		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	48.29%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	46				11773.9	40991.6	#N/A	#N/A	196	11.5	34.0	0.01%	0.71	6.17	7.23	1.17	0.010	0.073	0.117	0.024	9.978	0.090	0.192	0.269	0.044	26.114		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	74.00%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	47				11102.4	40992.6	#N/A	#N/A	196	5.3	30.0	0.01%	0.78	6.01	6.02	1.00	0.004	0.030	0.067	0.015	3.580	0.095	0.225	0.412	0.072	26.979		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	43.02%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	48				11123.4	40993.6	#N/A	#N/A	119	7.4	13.0	0.07%	0.83	4.01	4.01	1.00	0.012	0.128	0.211	0.053	6.673	0.056	0.117	0.181	0.034	6.071		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	84.65%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	49				11686.4	40994.6	#N/A	#N/A	#N/A	0.5	22.5	0.01%	0.71	4.75	6.32	1.33	0.003	0.032	0.067	0.017	2.873	0.055	0.108	0.167	0.030	9.726		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	61.82%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	50				10946.4	40996.1	#N/A	#N/A	#N/A	0.7	42.0	0.03%	0.67	6.34	8.82	1.39	0.012	0.051	0.115	0.021	8.625	0.047	0.138	0.235	0.038	23.195		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	45.39%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	51				10971.4	40995.6	#N/A	#N/A	18	12.8	28.5	0.02%	0.74	6.00	6.00	1.00	0.012	0.032	0.046	0.009	3.691	0.061	0.107	0.153	0.025	12.171		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	61.45%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	52				11757.4	40995.1	#N/A	#N/A	196	12.2	13.0	0.01%	0.73	3.50	5.01	1.43	0.046	0.102	0.148	0.030	5.308	0.024	0.184	0.334	0.090	9.552		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	65.73%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	53				11696.4	40998.1	#N/A	#N/A	#N/A	1.0	49.0	0.04%	0.57	6.12	10.35	1.69	0.020	0.073	0.125	0.023	14.336	0.114	0.247	0.551	0.086	48.358		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	90.86%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	54				11055.9	41000.6	#N/A	#N/A	21	6.0	45.3	0.04%	0.59	5.78	10.48	1.81	0.000	0.035	0.072	0.020	6.326	0.078	0.172	0.329	0.050	31.116		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	78.58%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	55				11672.4	41001.1	#N/A	#N/A	#N/A	0.5	30.8	0.17%	0.80	5.52	6.52	1.18	0.005	0.057	0.154	0.029	7.041	0.050	0.091	0.152	0.022	11.246		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	46.98%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	56				11619.4	41002.6	#N/A	#N/A	#N/A	3.5	39.3	0.02%	0.65	6.16	8.65	1.40	0.000	0.021	0.037	0.007	3.367	0.036	0.120	0.181	0.030	18.864		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	38.39%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	Tar	57				11668.4	41001.1	#N/A	#N/A	126	3.6	15.0	0.08%	0.84	3.00	5.50	1.83	0.007	0.079	0.396	0.067	4.711	0.049	0.094	0.226	0.035	5.623		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	65.56%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	58				11049.4	41002.6	#N/A	#N/A	#N/A	3.9	26.8	0.02%	0.66	5.40	6.98	1.29	0.000	0.039	0.069	0.015	4.151	0.042	0.140	0.255	0.054	14.994		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	51.77%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	59				11585.9	41004.1	#N/A	#N/A	196	6.7	25.3	0.01%	0.38	3.43	10.09	2.94	0.033	0.130	0.263	0.054	13.165	0.000	0.123	0.335	0.102	12.418		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	99.83%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	60				11096.4	41004.1	#N/A	#N/A	#N/A	2.9	34.8	0.03%	0.65	5.80	7.93	1.37	0.001	0.049	0.095	0.018	6.860	0.059	0.119	0.182	0.027	16.503		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	57.42%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	61				10933.4	41003.6	#N/A	#N/A	#N/A	1.5	13.8	0.08%	0.88	4.01	4.01	1.00	0.013	0.055	0.096	0.019	3.011	0.097	0.182	0.276	0.047	9.991		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	62.78%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	62				10952.4	41006.1	#N/A	#N/A	#N/A	1.0	27.0	0.01%	0.77	5.01	6.50	1.30	0.002	0.033	0.054	0.011	3.523	0.055	0.099	0.142	0.024	10.719		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	49.60%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	63				11005.4	41007.1	#N/A	#N/A	196	13.1	29.3	0.01%	0.76	5.52	6.50	1.18	0.042	0.101	0.147	0.020	11.839	0.050	0.303	0.464	0.099	35.494		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	56.29%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	64				11181.9	41006.6	#N/A	#N/A	196	7.5	15.3	0.01%	0.70	3.69	5.46	1.48	0.002	0.052	0.112	0.026	3.191	0.050	0.110	0.176	0.036	6.680		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	62.43%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	65				11701.9	41008.6	#N/A	#N/A	196	6.7	35.8	0.01%	0.72	5.02	8.51	1.69	0.001	0.064	0.108	0.026	9.129	0.041	0.114	0.207	0.031	16.333		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	51.37%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	66				10881.9	41011.6	#N/A	#N/A	196	#N/A	35.8	0.01%	0.62	5.12	9.00	1.76	0.001	0.037	0.060	0.012	5.297	0.073	0.167	0.248	0.044	23.886		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	77.15%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	67				10925.4	41012.6	#N/A	#N/A	24	5.8	43.0	0.04%	0.69	7.00	8.00	1.14	0.005	0.052	0.087	0.018	8.939	0.044	0.113	0.182	0.029	19.487		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	66.60%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	O	68				11586.9	41012.1	#N/A	#N/A	196	5.5	13.8	0.01%	0.67	3.50	5.50	1.57	0.000	0.012	0.038	0.010	0.674	0.042	0.143	0.264	0.065	7.886		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	54.81%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	NL	69				10977.4	41013.1	#N/A	#N/A	18	7.3	34.5	0.03%	0.67	6.39	7.46	1.17	0.000	0.026	0.052	0.010	3.586	0.030	0.095	0.146	0.024	13.171		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	48.89%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	F	70				11066.4	41013.6	#N/A	#N/A	122	7.0	20.8	0.12%	0.56	3.63	7.66	2.11	0.039	0.102	0.175	0.031	8.435	0.030	0.093	0.165	0.030	7.719		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	72.35%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	71				11210.4	41013.6	#N/A	#N/A	196	9.1	23.0	0.01%	0.72	5.11	5.81	1.14	0.043	0.085	0.144	0.019	7.801	0.138	0.270	0.398	0.063	24.835		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	39.22%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	Tar	NL	72				11606.9	41014.6	#N/A	#N/A	#N/A	0.5	37.0	2.29%	0.61	6.76	7.88	1.17	0.000	0.078	0.222	0.038	11.470	0.043	0.166	0.335	0.063	24.600		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	49.85%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	Tar	Tar	73				11603.4	41015.1	#N/A	#N/A	#N/A	3.5	23.8	1.47%	0.50	3.97	8.55	2.15	0.008	0.113	0.597	0.105	10.710	0.039	0.143	0.374	0.064	13.543		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	98.92%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	74				11722.9	41015.6	#N/A	#N/A	#N/A	4.3	52.3	0.04%	0.60	6.69	10.58	1.58	0.000	0.051	0.106	0.023	10.725	0.055	0.187	0.288	0.055	39.002		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	90.63%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	75				10970.4	41017.6	#N/A	#N/A	#N/A	1.8	32.0	0.03%	0.76	5.51	7.01	1.27	0.039	0.075	0.117	0.018	9.657	0.138	0.252	0.385	0.059	32.286		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	81.00%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	76				11362.9	41018.1	#N/A	#N/A	196	12.8	39.3	0.02%	0.73	6.52	7.51	1.15	0.020	0.055	0.085	0.014	8.582	0.083	0.207	0.319	0.052	32.500		27_Scan1	27_Scan1_[11338,41280]	0	0	0	0	80.44%	
