Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (square microns)	Cell Density (per square mm)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (microns)	Category Region ID	Distance from Tissue Category Edge (microns)	Nucleus Area (square microns)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus blue hematox Min (Optical Density, Peak Weighting)	Nucleus blue hematox Mean (Optical Density, Peak Weighting)	Nucleus blue hematox Max (Optical Density, Peak Weighting)	Nucleus blue hematox Std Dev (Optical Density, Peak Weighting)	Nucleus blue hematox Total (Optical Density, Peak Weighting)	Nucleus DAB Min (Optical Density, Peak Weighting)	Nucleus DAB Mean (Optical Density, Peak Weighting)	Nucleus DAB Max (Optical Density, Peak Weighting)	Nucleus DAB Std Dev (Optical Density, Peak Weighting)	Nucleus DAB Total (Optical Density, Peak Weighting)	Lab ID	Slide ID	Annotation ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.7467.26870
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S		1884				12096.5	40932.1	#N/A	#N/A	392	#N/A	17.8	0.01%	0.69	3.50	6.50	1.86	0.027	0.089	0.128	0.026	6.331	0.049	0.132	0.206	0.036	9.373		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0		
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1885				12406.5	40935.1	#N/A	#N/A	#N/A	1.5	55.3	0.02%	0.44	7.66	12.49	1.63	0.009	0.076	0.147	0.031	16.858	0.094	0.232	0.418	0.065	51.314		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	99.22%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1886				12414.0	40934.1	#N/A	#N/A	283	#N/A	37.0	0.01%	0.61	7.00	7.01	1.00	0.017	0.092	0.153	0.033	13.668	0.146	0.365	0.612	0.102	54.086		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	99.60%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T		1887				12434.5	40931.6	#N/A	#N/A	283	#N/A	12.0	0.00%	0.63	2.04	7.00	3.44	0.008	0.108	0.189	0.049	5.198	0.120	0.387	0.566	0.134	18.561		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0		
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1888				12451.0	40934.1	#N/A	#N/A	283	#N/A	47.0	0.02%	0.50	5.92	11.51	1.94	0.016	0.096	0.157	0.027	18.088	0.116	0.347	0.526	0.099	65.162		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	99.04%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T		1889				12465.5	40932.1	#N/A	#N/A	283	#N/A	16.5	0.01%	0.72	3.04	7.00	2.30	0.032	0.153	0.231	0.044	10.123	0.223	0.503	0.654	0.121	33.202		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0		
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1890				12472.0	40934.6	#N/A	#N/A	#N/A	1.5	38.3	0.01%	0.66	6.01	8.50	1.42	0.000	0.072	0.138	0.028	11.045	0.079	0.293	0.520	0.092	44.879		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	81.89%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T		1891				12428.0	40933.1	#N/A	#N/A	283	#N/A	13.8	0.00%	0.56	3.52	6.50	1.85	0.010	0.051	0.080	0.017	2.830	0.110	0.209	0.297	0.047	11.477		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0		
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	1892				12398.5	40935.1	#N/A	#N/A	#N/A	2.8	29.0	0.01%	0.75	5.53	6.50	1.18	0.007	0.076	0.137	0.034	8.833	0.099	0.248	0.405	0.071	28.773		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	60.51%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1893				12422.0	40936.1	#N/A	#N/A	283	#N/A	31.8	0.01%	0.69	5.81	7.22	1.24	0.001	0.071	0.135	0.030	8.980	0.127	0.330	0.545	0.094	41.861		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	95.47%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1894				12431.5	40935.1	#N/A	#N/A	283	#N/A	30.3	0.01%	0.72	5.51	7.00	1.27	0.038	0.100	0.169	0.032	12.131	0.129	0.326	0.491	0.090	39.428		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	93.71%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1895				12464.5	40935.1	#N/A	#N/A	283	#N/A	17.0	0.01%	0.74	5.00	5.01	1.00	0.047	0.102	0.152	0.028	6.911	0.155	0.360	0.531	0.086	24.465		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	89.33%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	N	NL	1896				11895.9	40935.1	#N/A	#N/A	335	3.2	12.8	0.13%	0.71	3.63	4.75	1.31	0.067	0.132	0.223	0.046	6.728	0.069	0.153	0.270	0.054	7.828		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	49.86%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	L	1897				12130.0	40935.6	#N/A	#N/A	392	#N/A	23.0	0.01%	0.80	5.00	5.50	1.10	0.057	0.129	0.189	0.030	11.856	0.109	0.399	0.554	0.121	36.711		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	61.08%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1898				12418.0	40940.1	#N/A	#N/A	#N/A	2.7	55.0	0.02%	0.39	7.22	10.40	1.44	0.007	0.081	0.144	0.027	17.779	0.087	0.281	0.502	0.087	61.909		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	98.17%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1899				12444.5	40937.6	#N/A	#N/A	283	#N/A	37.5	0.01%	0.56	4.53	10.87	2.40	0.021	0.135	0.214	0.042	20.205	0.128	0.379	0.640	0.146	56.822		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	93.06%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	1900				12137.5	40938.1	#N/A	#N/A	392	#N/A	29.0	0.01%	0.69	4.51	8.02	1.78	0.040	0.125	0.193	0.041	14.503	0.062	0.184	0.326	0.075	21.381		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	74.16%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	1901				11892.9	40941.1	#N/A	#N/A	#N/A	0.5	29.0	0.01%	0.63	5.88	6.99	1.19	0.000	0.036	0.087	0.020	4.168	0.055	0.104	0.177	0.029	12.061		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	47.25%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1902				12462.0	40941.1	#N/A	#N/A	283	5.7	30.3	0.01%	0.61	5.45	8.30	1.52	0.016	0.117	0.202	0.040	14.184	0.078	0.359	0.560	0.147	43.497		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	62.50%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	1903				12425.5	40941.1	#N/A	#N/A	283	6.0	14.3	0.00%	0.75	4.50	4.50	1.00	0.020	0.051	0.078	0.015	2.907	0.104	0.209	0.300	0.053	11.889		27_Scan1	27_Scan1_[12269,41280]	0	0	0	0	95.68%	
